ID,Zeit_Beginn,Zeit_Ende,Zeit_Diff,Farbe,Wert
15,10:00,10:05,00:05,F1,200
15,10:05,10:10,00:05,F1,167
15,10:10,10:15,00:05,F1,124
15,10:15,10:20,00:05,F1,162
15,10:20,10:25,00:05,F1,117
34,10:25,10:30,00:05,F2,139
34,10:30,10:35,00:05,F2,111
34,10:35,10:40,00:05,F2,185
34,10:40,10:45,00:05,F2,125
56,10:45,10:50,00:05,F1,148
56,10:50,10:55,00:05,F1,156
56,10:55,11:00,00:05,F1,141
58,11:00,11:05,00:05,F1,131
58,11:05,11:10,00:05,F1,159
58,11:10,11:15,00:05,F1,175
46,11:15,11:20,00:05,F2,149
46,11:20,11:25,00:05,F2,114
46,11:25,11:30,00:05,F2,110
